"";"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"threat.status.mma";"life.form";"habitat";"vegetation.type";"vernacular.name";"occurrence";"establishment";"domain";"endemism"
"178";115806;"Senecio oleosus Vell.";NA;"Asteraceae";"species";"accepted";"Senecio oleosus";NA;NA;"Erva|Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"182";27365;"Senecio paulensis Bong.";NA;"Asteraceae";"species";"accepted";"Senecio paulensis";NA;NA;"Erva";"Terricola";"Campo de Altitude|Floresta Ombrofila Mista|Vegetacao Aquatica";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Endemica"
"183";115871;"Senecio pinnatus Poir.";NA;"Asteraceae";"species";"accepted";"Senecio pinnatus";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"185";115881;"Senecio pulcher Hook. & Arn.";NA;"Asteraceae";"species";"accepted";"Senecio pulcher";NA;NA;"Erva";"Aquatica|Terricola";"Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Aquatica";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"184";622922;"Senecio pulcher Hook. & Arn. f. pulcher";NA;"Asteraceae";"form";"accepted";"Senecio pulcher fo. pulcher";NA;NA;"Erva";"Aquatica|Terricola";"Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Aquatica";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"190";104620;"Smallanthus araucariophilus Mondin";NA;"Asteraceae";"species";"accepted";"Smallanthus araucariophilus";"CR";"CR";"Erva";"Terricola";"Floresta Ombrofila Mista";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"192";105292;"Stenachaenium riedelli Baker";NA;"Asteraceae";"species";"accepted";"Stenachaenium riedelli";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"193";27393;"Stevia claussenii Sch.Bip. ex Baker";NA;"Asteraceae";"species";"accepted";"Stevia claussenii";NA;NA;"Subarbusto";"Terricola";"Campo Limpo|Campo rupestre|Cerrado (lato sensu)";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Nao endemica"
"248";6701;"Cerastium rivulare Cambess.";NA;"Caryophyllaceae";"species";"accepted";"Cerastium rivulare";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)";"erva-de-galinha/PORTUGUES/RS";"BR-DF|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"naturalized";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"301";135533;"Rhynchospora gollmeri Boeckler";NA;"Cyperaceae";"species";"accepted";"Rhynchospora gollmeri";NA;NA;"Erva";"Terricola";"Campo de Altitude|Vegetacao Aquatica";NA;"BR-PR|BR-RJ|BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"317";7481;"Gaylussacia angustifolia Cham.";NA;"Ericaceae";"species";"accepted";"Gaylussacia angustifolia";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude";"camarinho/PORTUGUES/sul brasileira";"BR-PR|BR-RJ|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"318";7483;"Gaylussacia brasiliensis (Spreng.) Meisn.";NA;"Ericaceae";"species";"accepted";"Gaylussacia brasiliensis";NA;NA;"Arbusto|Arvore|Subarbusto";"Terricola";"Campo de Altitude|Campo rupestre|Carrasco|Floresta Ciliar ou Galeria|Restinga|Vegetacao Sobre Afloramentos Rochosos";"camarinha/PORTUGUES/sul";"BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica";"Nao endemica"
"319";17325;"Gaylussacia brasiliensis (Spreng.) Meisn. var. brasiliensis";NA;"Ericaceae";"variety";"accepted";"Gaylussacia brasiliensis var. brasiliensis";NA;NA;"Arbusto|Arvore|Subarbusto";"Terricola";"Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Restinga";NA;"BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"329";7740;"Escallonia ledifolia Sleumer";NA;"Escalloniaceae";"species";"accepted";"Escallonia ledifolia";NA;NA;"Arbusto";"Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-SC";"native";"Mata Atlantica";"Endemica"
"330";7741;"Escallonia megapotamica Spreng.";NA;"Escalloniaceae";"species";"accepted";"Escallonia megapotamica";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo|Campo rupestre|Floresta Ombrofila (= Floresta Pluvial)";"flor-de-pito/PORTUGUES/Sul";"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"348";101039;"Adesmia tristis Vogel";NA;"Fabaceae";"species";"accepted";"Adesmia tristis";NA;NA;"Arbusto";"Terricola";"Campo de Altitude|Campo Limpo|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Endemica"
"349";101074;"Desmodium triarticulatum Malme";NA;"Fabaceae";"species";"accepted";"Desmodium triarticulatum";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo|Floresta Ombrofila Mista";"amor-de-campo/PORTUGUES/NA | pega-pega/PORTUGUES/NA";"BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"362";100952;"Mimosa fachinalensis Burkart";NA;"Fabaceae";"species";"accepted";"Mimosa fachinalensis";NA;NA;"Erva";"Terricola";"Campo de Altitude|Floresta Ombrofila Mista";"juquiri/PORTUGUES/Santa Catarina";"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"371";83707;"Senna oblongifolia (Vogel) H.S.Irwin & Barneby";NA;"Fabaceae";"species";"accepted";"Senna oblongifolia";NA;NA;"Arbusto";"Terricola";"Area Antropica|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-AM|BR-DF|BR-ES|BR-MG|BR-PB|BR-PR|BR-RJ|BR-RS|BR-SC|BR-TO";"native";"Amazonia|Cerrado|Mata Atlantica";"Nao endemica"
"372";594285;"Trifolium dubium Sibth.";NA;"Fabaceae";"species";"accepted";"Trifolium dubium";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"naturalized";"Mata Atlantica|Pampa";"Nao endemica"
"396";36309;"Calydorea crocoides Ravenna";NA;"Iridaceae";"species";"accepted";"Calydorea crocoides";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"397";36333;"Gelasine coerulea (Vell.) Ravenna";NA;"Iridaceae";"species";"accepted";"Gelasine coerulea";"NT";NA;"Erva";"Terricola";"Campo de Altitude|Cerrado (lato sensu)";NA;"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"436";8454;"Ocotea daphnifolia (Meisn.) Mez";NA;"Lauraceae";"species";"accepted";"Ocotea daphnifolia";"LC|LC";NA;"Arvore";"Terricola";"Floresta Estacional Decidual|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP";"native";"Mata Atlantica";"Endemica"
"432";8466;"Ocotea lancifolia (Schott) Mez";NA;"Lauraceae";"species";"accepted";"Ocotea lancifolia";"LC";NA;"Arvore";"Terricola";"Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"373";600068;"Trifolium repens L.";NA;"Fabaceae";"species";"accepted";"Trifolium repens";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"naturalized";"Mata Atlantica|Pampa";NA
"374";101183;"Trifolium riograndense Burkart";NA;"Fabaceae";"species";"accepted";"Trifolium riograndense";NA;NA;"Erva";"Terricola";"Campo de Altitude";"Trevo/PORTUGUES/NA";"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"375";101187;"Vicia montevidensis Vogel";NA;"Fabaceae";"species";"accepted";"Vicia montevidensis";NA;NA;"Erva|Liana/voluvel/trepadeira";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"376";7799;"Zygostigma australe (Cham. & Schltdl.) Griseb.";NA;"Gentianaceae";"species";"accepted";"Zygostigma australe";"EN";"EN";"Erva";"Terricola";"Campo Limpo|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Nao endemica"
"392";7998;"Hypericum carinatum Griseb.";NA;"Hypericaceae";"species";"accepted";"Hypericum carinatum";"NT";NA;"Subarbusto";"Aquatica|Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Vegetacao Aquatica";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"316";7477;"Gaultheria ulei Sleumer";NA;"Ericaceae";"species";"accepted";"Gaultheria ulei";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"381";7882;"Sinningia allagophylla (Mart.) Wiehler";NA;"Gesneriaceae";"species";"accepted";"Sinningia allagophylla";NA;NA;"Erva";"Rupicola|Terricola";"Campo Limpo|Campo rupestre|Cerrado (lato sensu)";NA;"BR-DF|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"382";7921;"Sinningia nivalis Chautems";NA;"Gesneriaceae";"species";"accepted";"Sinningia nivalis";NA;NA;"Erva";"Rupicola";"Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"135";103521;"Grazielia serrata (Spreng.) R.M.King & H.Rob.";NA;"Asteraceae";"species";"accepted";"Grazielia serrata";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Nao endemica"
"1";4136;"Hygrophila costata Nees & T. Nees";NA;"Acanthaceae";"species";"accepted";"Hygrophila costata";NA;NA;"Erva";"Aquatica|Terricola";"Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-AC|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"11";4360;"Hippeastrum glaucescens (Mart.) Herb.";NA;"Amaryllidaceae";"species";"accepted";"Hippeastrum glaucescens";NA;NA;"Erva";"Rupicola|Terricola";"Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Restinga|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica";"Nao endemica"
"378";7804;"Geranium arachnoideum A.St.-Hil.";NA;"Geraniaceae";"species";"accepted";"Geranium arachnoideum";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RJ|BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"379";7807;"Geranium dissectum L.";NA;"Geraniaceae";"species";"accepted";"Geranium dissectum";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RJ|BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"380";7809;"Geranium robertianum L.";NA;"Geraniaceae";"species";"accepted";"Geranium robertianum";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RJ|BR-RS|BR-SC";"naturalized";"Mata Atlantica";"Nao endemica"
"134";27079;"Grazielia gaudichaudeana (DC.) R.M.King & H.Rob.";NA;"Asteraceae";"species";"accepted";"Grazielia gaudichaudeana";NA;NA;"Arbusto|Subarbusto";"Rupicola|Terricola";"Area Antropica|Campo de Altitude|Campo rupestre|Cerrado (lato sensu)";NA;"BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"219";113152;"Callichlamys latifolia (Rich.) K.Schum.";NA;"Bignoniaceae";"species";"accepted";"Callichlamys latifolia";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-AM|BR-AP|BR-BA|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-RJ|BR-RO|BR-RR|BR-SP|BR-TO";"native";"Amazonia|Cerrado|Mata Atlantica|Pantanal";"Nao endemica"
"220";123996;"Thaumatocaryon dasyanthum (Cham.) I.M.Johnst.";NA;"Boraginaceae";"species";"accepted";"Thaumatocaryon dasyanthum";NA;NA;"Erva";"Terricola";"Area Antropica|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";"Borragem-miuda-do-campo/PORTUGUES/Sul";"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Nao endemica"
"211";5619;"Begonia fruticosa (Klotzsch) A.DC.";NA;"Begoniaceae";"species";"accepted";"Begonia fruticosa";"LC";NA;"Liana/voluvel/trepadeira";"Hemiepifita|Terricola";"Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"24";26420;"Eryngium junceum Cham. & Schltdl.";NA;"Apiaceae";"species";"accepted";"Eryngium junceum";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)";NA;"BR-GO|BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Endemica"
"59";5218;"Baccharis nummularia Heering ex Malme";NA;"Asteraceae";"species";"accepted";"Baccharis nummularia";NA;NA;"Arbusto";"Rupicola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"60";5219;"Baccharis oblongifolia (Ruiz & Pav.) Pers.";NA;"Asteraceae";"species";"accepted";"Baccharis oblongifolia";NA;NA;"Arbusto|Subarbusto";"Terricola";"Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-AM|BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SP";"native";"Amazonia|Cerrado|Mata Atlantica";"Nao endemica"
"83";5223;"Baccharis organensis Baker";NA;"Asteraceae";"species";"accepted";"Baccharis organensis";NA;NA;"Subarbusto";"Rupicola|Terricola";"Campo de Altitude|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"84";5231;"Baccharis phylicifolia DC.";NA;"Asteraceae";"species";"accepted";"Baccharis phylicifolia";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Endemica"
"85";5235;"Baccharis pseudovillosa Malag. & J.Vidal";NA;"Asteraceae";"species";"accepted";"Baccharis pseudovillosa";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude|Floresta Ombrofila Mista";"carqueja-das-turfeiras/PORTUGUES/NA";"BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Endemica"
"96";26931;"Campovassouria cruciata (Vell.) R.M.King & H.Rob.";NA;"Asteraceae";"species";"accepted";"Campovassouria cruciata";NA;NA;"Arbusto";"Rupicola|Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"323";7523;"Eriocaulon gomphrenoides Kunth";NA;"Eriocaulaceae";"species";"accepted";"Eriocaulon gomphrenoides";NA;NA;"Erva";"Aquatica";"Campo de Altitude|Campo de Varzea|Campo Limpo|Vegetacao Aquatica";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"324";7526;"Eriocaulon ligulatum (Vell.) L.B.Sm.";NA;"Eriocaulaceae";"species";"accepted";"Eriocaulon ligulatum";NA;NA;"Erva";"Aquatica";"Campo de Varzea|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Restinga|Vegetacao Aquatica";NA;"BR-ES|BR-MG|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"325";7574;"Paepalanthus caldensis Malme";NA;"Eriocaulaceae";"species";"accepted";"Paepalanthus caldensis";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"326";7579;"Paepalanthus catharinae Ruhland";NA;"Eriocaulaceae";"species";"accepted";"Paepalanthus catharinae";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"359";101126;"Lupinus multiflorus Desr.";NA;"Fabaceae";"species";"accepted";"Lupinus multiflorus";NA;NA;"Erva|Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo|Restinga";"Tremoco/PORTUGUES/NA";"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"360";101133;"Lupinus rubriflorus Planchuelo";NA;"Fabaceae";"species";"accepted";"Lupinus rubriflorus";NA;NA;"Erva";"Terricola";"Campo de Altitude";"Tremoco/PORTUGUES/NA";"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"427";8290;"Rhabdocaulon gracile (Benth.) Epling";NA;"Lamiaceae";"species";"accepted";"Rhabdocaulon gracile";NA;NA;"Erva|Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"428";8313;"Salvia congestiflora Epling";NA;"Lamiaceae";"species";"accepted";"Salvia congestiflora";"NT";NA;"Subarbusto";"Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"429";8330;"Salvia melissiflora Benth.";NA;"Lamiaceae";"species";"accepted";"Salvia melissiflora";NA;NA;"Erva|Subarbusto";"Terricola";"Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-PR|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"437";8517;"Persea major (Meisn.) L.E.Kopp";NA;"Lauraceae";"species";"accepted";"Persea major";NA;NA;"Arvore";"Terricola";"Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)";"abacate-do-mato/PORTUGUES/Rio de Janeiro | massaranduba/PORTUGUES/Minas Gerais";"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"440";8522;"Persea venosa Nees & Mart.";NA;"Lauraceae";"species";"accepted";"Persea venosa";NA;NA;"Arvore";"Terricola";"Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga";NA;"BR-MG|BR-PR|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"283";17170;"Cyperus prolixus Kunth";NA;"Cyperaceae";"species";"accepted";"Cyperus prolixus";NA;NA;"Erva";"Terricola";"Campo Limpo|Restinga|Vegetacao Aquatica";NA;"BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"239";15096;"Valeriana scandens L.";NA;"Caprifoliaceae";"species";"accepted";"Valeriana scandens";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Area Antropica|Campo de Altitude|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-BA|BR-ES|BR-MG|BR-MS|BR-PB|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"241";15098;"Valeriana ulei Graebn.";NA;"Caprifoliaceae";"species";"accepted";"Valeriana ulei";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"242";6677;"Citronella engleriana (Loes.) R.A.Howard";NA;"Cardiopteridaceae";"species";"accepted";"Citronella engleriana";NA;NA;"Arbusto|Arvore";"Terricola";"Floresta Estacional Perenifolia|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"243";6679;"Citronella paniculata (Mart.) R.A.Howard";NA;"Cardiopteridaceae";"species";"accepted";"Citronella paniculata";NA;NA;"Arvore";"Terricola";"Caatinga (stricto sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)";"Carne-de-vaca/PORTUGUES/NA | Perobossu/PORTUGUES/Sudeste";"BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"244";109233;"Arenaria groenlandica (Retz.) Spreng.";NA;"Caryophyllaceae";"species";"accepted";"Arenaria groenlandica";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-SC";"naturalized";"Pampa";"Nao endemica"
"454";9111;"Monteiroa glomerata (Hook. & Arn.) Krapov.";NA;"Malvaceae";"species";"accepted";"Monteiroa glomerata";NA;NA;"Arbusto|Subarbusto";"Terricola";"Area Antropica|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"459";9115;"Monteiroa reitzii Krapov.";NA;"Malvaceae";"species";"accepted";"Monteiroa reitzii";NA;NA;"Arbusto|Subarbusto";"Terricola";"Area Antropica|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"460";9135;"Pavonia dusenii Krapov.";NA;"Malvaceae";"species";"accepted";"Pavonia dusenii";NA;NA;"Arbusto";"Terricola";"Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"461";9143;"Pavonia guerkeana R.E.Fr.";NA;"Malvaceae";"species";"accepted";"Pavonia guerkeana";NA;NA;"Arbusto";"Terricola";"Area Antropica|Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Nao endemica"
"477";603379;"Chaetogastra debilis Cham.";NA;"Melastomataceae";"species";"accepted";"Chaetogastra debilis";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"480";603381;"Chaetogastra gracilis (Bonpl.) DC.";NA;"Melastomataceae";"species";"accepted";"Chaetogastra gracilis";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga";NA;"BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
