"";"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"threat.status.mma";"life.form";"habitat";"vegetation.type";"vernacular.name";"occurrence";"establishment";"domain";"endemism"
"260";102916;"Cyclanthera hystrix (Gill.) Arn.";NA;"Cucurbitaceae";"species";"accepted";"Cyclanthera hystrix";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Estacional Semidecidual";NA;"BR-MG|BR-MS|BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"261";102915;"Cyclanthera tenuifolia Cogn.";NA;"Cucurbitaceae";"species";"accepted";"Cyclanthera tenuifolia";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Ombrofila Mista";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Nao endemica"
"262";115609;"Echinopepon racemosus (Steud.) C. Jeffrey";NA;"Cucurbitaceae";"species";"accepted";"Echinopepon racemosus";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Estacional Semidecidual";NA;"BR-MG|BR-MS|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Nao endemica"
"270";34914;"Carex feddeana H.Pfeiff.";NA;"Cyperaceae";"species";"accepted";"Carex feddeana";NA;NA;"Erva";"Terricola";"Campo Limpo|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"273";49081;"Carex meridionalis (Kük.) Herter";NA;"Cyperaceae";"species";"accepted";"Carex meridionalis";NA;NA;"Erva";"Terricola";"Campo Limpo";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"274";34930;"Carex phalaroides Kunth";NA;"Cyperaceae";"species";"accepted";"Carex phalaroides";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"275";34935;"Carex polysticha Boeckeler";NA;"Cyperaceae";"species";"accepted";"Carex polysticha";NA;NA;"Erva";"Terricola";"Campo Limpo";NA;"BR-DF|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"276";34936;"Carex purpureovaginata Boeckeler";NA;"Cyperaceae";"species";"accepted";"Carex purpureovaginata";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Endemica"
"277";34939;"Carex sellowiana Schltdl.";NA;"Cyperaceae";"species";"accepted";"Carex sellowiana";NA;NA;"Erva";"Terricola";"Floresta Ombrofila Mista";NA;"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"278";604609;"Cyperus brasiliensis (Kunth) Bauters";NA;"Cyperaceae";"species";"accepted";"Cyperus brasiliensis";NA;NA;"Erva";"Aquatica|Terricola";"Campo Limpo|Cerrado (lato sensu)|Vegetacao Aquatica";NA;"BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO";"native";"Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"87";5241;"Baccharis reticularia DC.";NA;"Asteraceae";"species";"accepted";"Baccharis reticularia";NA;NA;"Arbusto";"Rupicola|Terricola";"Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos";"alecrim/PORTUGUES/NA | alecrim-da-praia/PORTUGUES/NA";"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-SC|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica";"Endemica"
"235";15085;"Valeriana catharinensis Graebn.";NA;"Caprifoliaceae";"species";"accepted";"Valeriana catharinensis";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"417";36455;"Luzula ulei Buchenau";NA;"Juncaceae";"species";"accepted";"Luzula ulei";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-MG|BR-RJ|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Endemica"
"419";8127;"Cunila angustifolia Benth.";NA;"Lamiaceae";"species";"accepted";"Cunila angustifolia";NA;NA;"Erva|Subarbusto";"Terricola";"Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrofila Mista";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"420";8133;"Cunila menthoides Benth.";NA;"Lamiaceae";"species";"accepted";"Cunila menthoides";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"421";8147;"Glechon discolor Epling";NA;"Lamiaceae";"species";"accepted";"Glechon discolor";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"422";8149;"Glechon marifolia Benth.";NA;"Lamiaceae";"species";"accepted";"Glechon marifolia";NA;NA;"Erva|Subarbusto";"Terricola";"Campo de Altitude|Restinga";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"423";8151;"Glechon thymoides Spreng.";NA;"Lamiaceae";"species";"accepted";"Glechon thymoides";NA;NA;"Erva|Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"424";8158;"Hesperozygis kleinii Epling";NA;"Lamiaceae";"species";"accepted";"Hesperozygis kleinii";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-SC";"native";"Mata Atlantica";"Endemica"
"425";8159;"Hesperozygis myrtoides (A.St.-Hil. ex Benth.) Epling";NA;"Lamiaceae";"species";"accepted";"Hesperozygis myrtoides";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-ES|BR-MG|BR-RJ|BR-SP";"native";"Mata Atlantica";"Endemica"
"426";36589;"Prunella vulgaris L.";NA;"Lamiaceae";"species";"accepted";"Prunella vulgaris";NA;NA;"Erva";"Terricola";"Area Antropica|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"naturalized";"Mata Atlantica";"Nao endemica"
"280";7183;"Cyperus haspan L.";NA;"Cyperaceae";"species";"accepted";"Cyperus haspan";NA;NA;"Erva";"Aquatica|Terricola";"Area Antropica|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Savana Amazonica|Vegetacao Aquatica";NA;"BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"279";34982;"Cyperus intricatus Schrad. ex Schult.";NA;"Cyperaceae";"species";"accepted";"Cyperus intricatus";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Nao endemica"
